state,city,rainfall,temperature,humidity
Abia,Aba,2747,25.6,"The month of highest relative humidity is June (90.79 %). The month with the lowest relative humidity is January (67.66 %).
The month which sees the most rainfall is October (11.20 days). The driest month of the year is January (28.67 days)."
Abia,Ahia Aba,2219,25.7,"The month with the most relative humidity is September (90.04 %). The month with the least relative humidity is January (61.71 %).
The wettest month is October (28.07 days), while the driest is December (5.67)."
Abia,Bende,2112,26.1,"The month that sees the most relative humidity is October (57.48 %). The month with the lowest amount of relative humidity is January (57.48 %).
The wettest month is October (28.07 days), whilst the driest is January (4.67)."
Abia,Ihie Ndume,2122,25.8,"The month with the highest relative humidity is October (89.37 %). The month with the lowest relative humidity is January (58.35 %).
The month with the highest number of rainy days is October (28.07 days). The month with the lowest number of rainy days is January (4.80 days)."
Abia,Mbukwa,2112,26.1,"The month with the highest relative humidity is October (89.42 %). The month with the lowest relative humidity is January (59.93 %).
The month with the highest number of rainy days is October (28.07 days). The month with the lowest number of rainy days is January (4.67 days)."
Abia,Ndi Ememe Abam,2112,26.2,"The month of highest relative humidity is October (88.15 %). The month with the lowest relative humidity is January (56.56 %).
The month which sees the most rainfall is October (4.67 days). The driest month of the year is January (28.07 days)."
Abia,Ndinya,2112,26.2,"The month with the most relative humidity is October (88.15 %). The month with the least relative humidity is January (56.56 %).
The wettest month is October (28.07 days), while the driest is January (4.67)."
Abia,Ngu,2122,26.1,"The month of highest relative humidity is October (88.55 %). The month with the lowest relative humidity is January (54.44 %).
The month which sees the most rainfall is October (4.80 days). The driest month of the year is January (28.07 days)."
Abia,Osusu,2122,25.7,"The month with the most relative humidity is October (90.04 %). The month with the least relative humidity is January (60.84 %).
The wettest month is October (28.07 days), while the driest is January (4.80)."
Abia,Ozu Item,2122,26.1,"The month with the highest relative humidity is October (88.16 %). The month with the lowest relative humidity is January (57.48 percent).
The month with the most rainy days is October (28.07 days). The month with the fewest rainy days is January (4.80 days)."
Adamawa,Boyu,854,26.5,"The month with the highest relative humidity is August (83.55 %). The month with the lowest relative humidity is February (19.79 %).
The wettest month is August (25.17 days). The driest month is January (0.03 days)."
Adamawa,Jalingo,553,29,"The month of highest relative humidity is August (77.06 %). The month with the lowest relative humidity is March (17.10 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (20.10 days)."
Adamawa,Kantunda,534,27.1,"The month that sees the most relative humidity is August (12.18 %). The month with the lowest amount of relative humidity is March (12.18 %).
The wettest month is August (21.93 days), whilst the driest is January (0.00)."
Adamawa,Mubi,853,25.7,"The month with the highest relative humidity is August (86.12 %). The month with the lowest relative humidity is March (15.25 %).
The month with the highest number of rainy days is August (25.33 days). The month with the lowest number of rainy days is January (0.00 days)."
Adamawa,Yola,624,29.1,"The month that sees the most relative humidity is August (18.25 %). The month with the lowest amount of relative humidity is February (18.25 %).
The wettest month is August (20.50 days), whilst the driest is January (0.00)."
Akwa Ibom,Atan,3033,25.7,"The month with the highest relative humidity is June (90.64 %). The month with the lowest relative humidity is January (71.37 %).
The wettest month is October (28.57 days). The driest month is January (11.50 days)."
Akwa Ibom,Itiam Etoi,3033,25.8,"The month with the highest relative humidity is June (90.78 %). The month with the lowest relative humidity is January (73.56 percent).
The month with the most rainy days is October (28.57 days). The month with the fewest rainy days is January (11.50 days)."
Akwa Ibom,Mbribit,3033,25.7,"The month with the highest relative humidity is June (90.64 %). The month with the lowest relative humidity is January (71.37 %).
The month with the highest number of rainy days is October (28.57 days). The month with the lowest number of rainy days is January (11.50 days)."
Akwa Ibom,Oku,3033,25.7,"The month with the most relative humidity is June (90.64 %). The month with the least relative humidity is January (71.37 %).
The wettest month is October (28.57 days), while the driest is January (11.50)."
Anambra,Awka,1589,26.8,"The month that sees the most relative humidity is September (48.29 %). The month with the lowest amount of relative humidity is January (48.29 %).
The wettest month is September (26.93 days), whilst the driest is December (2.27)."
Anambra,Newi,2062,26.1,"The month that sees the most relative humidity is September (54.63 %). The month with the lowest amount of relative humidity is January (54.63 %).
The wettest month is July (27.67 days), whilst the driest is December (4.03)."
Anambra,Oba-Aboji,1544,26.6,"The month with the highest relative humidity is September (86.42 %). The month with the lowest relative humidity is January (54.35 percent).
The month with the most rainy days is September (26.73 days). The month with the fewest rainy days is December (2.10 days)."
Anambra,Onitsha,1331,26.6,"The month with the highest relative humidity is September (86.42 %). The month with the lowest relative humidity is January (54.35 %).
The month with the highest number of rainy days is September (26.13 days). The month with the lowest number of rainy days is December (1.03 days)."
Anambra,Ozu,2016,27,"The month with the highest relative humidity is September (86.03 %). The month with the lowest relative humidity is January (47.66 percent).
The month with the most rainy days is July (27.63 days). The month with the fewest rainy days is December (2.87 days)."
Bauchi,Azare,539,27.3,"The month that sees the most relative humidity is August (10.93 %). The month with the lowest amount of relative humidity is March (10.93 %).
The wettest month is August (22.27 days), whilst the driest is January (0.00)."
Bauchi,Bauchi,1122,25.1,"The month with the highest relative humidity is August (84.93 %). The month with the lowest relative humidity is March (16.29 %).
The month with the highest number of rainy days is August (26.83 days). The month with the lowest number of rainy days is January (0.00 days)."
Bauchi,Dutsin Habe,973,25.5,"The month with the most relative humidity is August (83.18 %). The month with the least relative humidity is March (15.97 %).
The wettest month is August (26.83 days), while the driest is January (0.00)."
Bauchi,Gadua,416,27.9,"The month of highest relative humidity is August (76.56 %). The month with the lowest relative humidity is March (9.99 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (19.43 days)."
Bauchi,Giade,666,26.9,"The month with the highest relative humidity is August (80.88 %). The month with the lowest relative humidity is March (11.50 percent).
The month with the most rainy days is August (24.03 days). The month with the fewest rainy days is January (0.00 days)."
Bauchi,Gololo,417,28.1,"The month with the highest relative humidity is August (75.83 %). The month with the lowest relative humidity is March (9.42 %).
The wettest month is August (18.77 days). The driest month is January (0.00 days)."
Bauchi,Katirje,1071,23.2,"The month with the highest relative humidity is August (83.82 %). The month with the lowest relative humidity is March (20.66 %).
The wettest month is August (27.70 days). The driest month is January (0.03 days)."
Bauchi,Kwagol,629,27.2,"The month that sees the most relative humidity is August (13.65 %). The month with the lowest amount of relative humidity is March (13.65 %).
The wettest month is August (22.40 days), whilst the driest is January (0.00)."
Bauchi,Lodio,416,28.1,"The month that sees the most relative humidity is August (9.45 %). The month with the lowest amount of relative humidity is March (9.45 %).
The wettest month is August (19.43 days), whilst the driest is January (0.00)."
Bauchi,Yelwa,710,27,"The month of highest relative humidity is August (80.09 %). The month with the lowest relative humidity is March (11.06 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (24.23 days)."
Bayelsa,Dugbagbene,2637,26.5,"The month with the highest relative humidity is September (85.32 %). The month with the lowest relative humidity is January (78.28 percent).
The month with the most rainy days is October (28.93 days). The month with the fewest rainy days is January (17.40 days)."
Bayelsa,Ke wetgbene,2949,26.4,"The month with the highest relative humidity is September (86.01 %). The month with the lowest relative humidity is January (78.85 %).
The month with the highest number of rainy days is October (28.93 days). The month with the lowest number of rainy days is January (17.20 days)."
Bayelsa,Keleigbene,2467,26.5,"The month of highest relative humidity is September (85.32 %). The month with the lowest relative humidity is January (78.28 %).
The month which sees the most rainfall is October (16.70 days). The driest month of the year is January (28.57 days)."
Bayelsa,Logogbene,2637,26.5,"The month with the highest relative humidity is September (85.32 %). The month with the lowest relative humidity is January (78.28 %).
The month with the highest number of rainy days is October (28.93 days). The month with the lowest number of rainy days is January (17.40 days)."
Bayelsa,Obogoro,2637,26.4,"The month with the highest relative humidity is September (86.15 %). The month with the lowest relative humidity is January (79.48 %).
The month with the highest number of rainy days is October (28.93 days). The month with the lowest number of rainy days is January (17.40 days)."
Bayelsa,Ogoubiri,3283,26,"The month with the highest relative humidity is October (88.36 %). The month with the lowest relative humidity is January (74.40 percent).
The month with the most rainy days is October (28.87 days). The month with the fewest rainy days is January (16.17 days)."
Bayelsa,Owegbene,3181,26.1,"The month with the highest relative humidity is October (88.31 %). The month with the lowest relative humidity is January (77.99 %).
The month with the highest number of rainy days is October (28.97 days). The month with the lowest number of rainy days is January (17.30 days)."
Bayelsa,Tuinpega,2637,26.5,"The month with the highest relative humidity is September (85.32 %). The month with the lowest relative humidity is January (78.28 percent).
The month with the most rainy days is October (28.93 days). The month with the fewest rainy days is January (17.40 days)."
Bayelsa,Yenagoa,2909,26,"The month with the highest relative humidity is October (88.61 %). The month with the lowest relative humidity is January (73.82 %).
The month with the highest number of rainy days is October (28.67 days). The month with the lowest number of rainy days is January (14.23 days)."
Bayelsa,Yenizue Epie,2909,26,"The month with the highest relative humidity is October (88.61 %). The month with the lowest relative humidity is January (73.82 %).
The month with the highest number of rainy days is October (28.67 days). The month with the lowest number of rainy days is January (14.23 days)."
Benue,Adigena,2164,25.9,"The month with the highest relative humidity is September (88.07 %). The month with the lowest relative humidity is January (36.28 %).
The month with the highest number of rainy days is October (28.00 days). The month with the lowest number of rainy days is December (2.03 days)."
Benue,Enger,1101,28.2,"The month with the most relative humidity is September (81.91 %). The month with the least relative humidity is January (30.83 %).
The wettest month is August (25.30 days), while the driest is December (0.27)."
Benue,Gom,1349,27.8,"The month with the highest relative humidity is September (82.39 %). The month with the lowest relative humidity is January (29.87 %).
The month with the highest number of rainy days is August (27.23 days). The month with the lowest number of rainy days is December (0.63 days)."
Benue,Makurdi,983,28.2,"The month with the highest relative humidity is September (82.06 %). The month with the lowest relative humidity is January (29.50 percent).
The month with the most rainy days is August (25.87 days). The month with the fewest rainy days is January (0.30 days)."
Benue,Tseapenda,1143,27.6,"The month with the highest relative humidity is September (81.90 %). The month with the lowest relative humidity is January (28.73 %).
The month with the highest number of rainy days is August (25.70 days). The month with the lowest number of rainy days is December (0.30 days)."
Borno,Billa Dawa Pogu,653,27,"The month that sees the most relative humidity is August (11.53 %). The month with the lowest amount of relative humidity is March (11.53 %).
The wettest month is August (23.13 days), whilst the driest is January (0.00)."
Borno,Bumsa,821,26.2,"The month of highest relative humidity is August (85.23 %). The month with the lowest relative humidity is March (11.63 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (25.10 days)."
Borno,Dalhat Fulani,482,28.1,"The month of highest relative humidity is August (81.20 %). The month with the lowest relative humidity is March (12.13 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (20.47 days)."
Borno,Dogomolu,236,28.4,"The month with the highest relative humidity is August (71.85 %). The month with the lowest relative humidity is March (9.30 %).
The month with the highest number of rainy days is August (15.00 days). The month with the lowest number of rainy days is January (0.00 days)."
Borno,Gatafo,271,28.3,"The month that sees the most relative humidity is August (9.34 %). The month with the lowest amount of relative humidity is March (9.34 %).
The wettest month is August (15.87 days), whilst the driest is January (0.00)."
Borno,Gwoza,"ly.

  The Gwoza are located close to the equator, making the su",26.7,"The month with the highest relative humidity is August (80.95 %). The month with the lowest relative humidity is March (12.80 percent).
The month with the most rainy days is August (26.43 days). The month with the fewest rainy days is January (0.00 days)."
Borno,Leberi,482,28.1,"The month with the highest relative humidity is August (81.20 %). The month with the lowest relative humidity is March (12.13 %).
The wettest month is August (20.47 days). The driest month is January (0.00 days)."
Borno,Ligia,454,28.6,"The month of highest relative humidity is August (78.87 %). The month with the lowest relative humidity is March (10.30 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (20.07 days)."
Borno,Mada,460,29.1,"The month with the highest relative humidity is August (77.89 %). The month with the lowest relative humidity is March (9.67 %).
The wettest month is August (20.07 days). The driest month is December (0.00 days)."
Borno,Mafa,416,28.6,"The month that sees the most relative humidity is August (11.15 %). The month with the lowest amount of relative humidity is March (11.15 %).
The wettest month is August (19.50 days), whilst the driest is January (0.00)."
Borno,Maiduguri,466,28,"The month of highest relative humidity is August (78.65 %). The month with the lowest relative humidity is March (11.77 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (20.37 days)."
Borno,Malumti,271,28.4,"The month of highest relative humidity is August (72.91 %). The month with the lowest relative humidity is March (9.33 %).
The month which sees the most rainfall is August (0.00 days). The driest month of the year is January (15.87 days)."
Borno,Mergu,240,28.5,"The month with the highest relative humidity is August (72.30 %). The month with the lowest relative humidity is March (9.22 %).
The month with the highest number of rainy days is August (14.10 days). The month with the lowest number of rainy days is January (0.00 days)."
Borno,Wawa Kura,522,27.2,"The month with the highest relative humidity is August (80.85 %). The month with the lowest relative humidity is March (11.06 %).
The wettest month is August (21.87 days). The driest month is January (0.00 days)."
Borno,Zari,271,28.4,"The month with the highest relative humidity is August (72.89 %). The month with the lowest relative humidity is March (9.35 percent).
The month with the most rainy days is August (15.87 days). The month with the fewest rainy days is January (0.00 days)."
Cross River,Abayong,1744,27.1,"The month with the highest relative humidity is October (85.41 %). The month with the lowest relative humidity is January (47.46 percent).
The month with the most rainy days is August (27.17 days). The month with the fewest rainy days is December (1.93 days)."
Cross River,Afunatam,1744,27.3,"The month with the highest relative humidity is October (84.89 %). The month with the lowest relative humidity is January (43.21 percent).
The month with the most rainy days is August (27.17 days). The month with the fewest rainy days is December (1.93 days)."
Cross River,Calabar,3306,25.8,"The month of highest relative humidity is June (91.18 %). The month with the lowest relative humidity is January (77.08 %).
The month which sees the most rainfall is October (13.00 days). The driest month of the year is January (28.70 days)."
Cross River,Dogu,1418,27.5,"The month that sees the most relative humidity is September (34.41 %). The month with the lowest amount of relative humidity is January (34.41 %).
The wettest month is August (27.17 days), whilst the driest is December (0.87)."
Cross River,Ediba Beach,3306,25.7,"The month with the highest relative humidity is June (91.22 %). The month with the lowest relative humidity is January (78.43 %).
The month with the highest number of rainy days is October (28.70 days). The month with the lowest number of rainy days is January (13.00 days)."
Cross River,Esuk Utan,3306,25.8,"The month that sees the most relative humidity is June (77.08 %). The month with the lowest amount of relative humidity is January (77.08 %).
The wettest month is October (28.70 days), whilst the driest is January (13.00)."
Cross River,Ikot Ansa,3306,25.8,"The month with the highest relative humidity is June (91.18 %). The month with the lowest relative humidity is January (77.08 %).
The month with the highest number of rainy days is October (28.70 days). The month with the lowest number of rainy days is January (13.00 days)."
Cross River,Ishie Town,3306,25.8,"The month with the highest relative humidity is June (91.18 %). The month with the lowest relative humidity is January (77.08 %).
The wettest month is October (28.70 days). The driest month is January (13.00 days)."
Cross River,Lefin,1418,27.5,"The month with the most relative humidity is September (83.27 %). The month with the least relative humidity is January (34.41 %).
The wettest month is August (27.17 days), while the driest is December (0.87)."
Cross River,Obendegana,1418,27.5,"The month with the highest relative humidity is September (83.27 %). The month with the lowest relative humidity is January (34.41 %).
The wettest month is August (27.17 days). The driest month is December (0.87 days)."
Delta,Akuku Agbor,2240,25.9,"The month with the highest relative humidity is September (88.85 %). The month with the lowest relative humidity is January (59.73 %).
The wettest month is July (27.90 days). The driest month is December (6.67 days)."
Delta,Asaba,8,26.8,"The month that sees the most relative humidity is September (54.17 %). The month with the lowest amount of relative humidity is January (54.17 %).
The wettest month is September (26.13 days), whilst the driest is December (1.03)."
Delta,Imode,2893,25.9,"The month of highest relative humidity is October (89.92 %). The month with the lowest relative humidity is January (72.77 %).
The month which sees the most rainfall is October (14.83 days). The driest month of the year is January (28.83 days)."
Delta,Iyiba,1331,26.8,"The month with the highest relative humidity is September (85.75 %). The month with the lowest relative humidity is January (54.17 percent).
The month with the most rainy days is September (26.13 days). The month with the fewest rainy days is December (1.03 days)."
Delta,Obidugbo,2240,25.9,"The month with the highest relative humidity is September (88.85 %). The month with the lowest relative humidity is January (59.73 %).
The month with the highest number of rainy days is July (27.90 days). The month with the lowest number of rainy days is December (6.67 days)."
Delta,Ogbe-Ijoh,2893,25.9,"The month that sees the most relative humidity is June (76.37 %). The month with the lowest amount of relative humidity is January (76.37 %).
The wettest month is October (28.83 days), whilst the driest is January (14.83)."
Delta,Ojoba,3181,26.1,"The month with the highest relative humidity is October (88.31 %). The month with the lowest relative humidity is January (77.99 %).
The wettest month is October (28.97 days). The driest month is January (17.30 days)."
Delta,Okpanam,1331,26.4,"The month with the highest relative humidity is September (86.47 %). The month with the lowest relative humidity is January (52.16 percent).
The month with the most rainy days is September (26.13 days). The month with the fewest rainy days is December (1.03 days)."
Delta,Otumara,2548,25.8,"The month with the highest relative humidity is September (91.10 %). The month with the lowest relative humidity is January (70.42 percent).
The month with the most rainy days is October (28.37 days). The month with the fewest rainy days is December (11.33 days)."
Delta,Ugbolokposo,2893,25.8,"The month with the highest relative humidity is September (90.95 %). The month with the lowest relative humidity is January (72.73 %).
The month with the highest number of rainy days is October (28.83 days). The month with the lowest number of rainy days is January (14.83 days)."
Ebonyi,Amate Enu,1610,27,"The month with the highest relative humidity is October (85.26 %). The month with the lowest relative humidity is January (49.05 %).
The month with the highest number of rainy days is September (26.87 days). The month with the lowest number of rainy days is December (1.60 days)."
Ebonyi,Ndona,1526,27.6,"The month with the most relative humidity is September (83.15 %). The month with the least relative humidity is January (36.46 %).
The wettest month is August (26.73 days), while the driest is December (1.17)."
Ebonyi,Ochigba,1526,27.6,"The month with the highest relative humidity is September (83.15 %). The month with the lowest relative humidity is January (36.46 %).
The wettest month is August (26.73 days). The driest month is December (1.17 days)."
Ebonyi,Okpo Ezi,1610,27,"The month with the most relative humidity is October (85.53 %). The month with the least relative humidity is January (49.72 %).
The wettest month is September (26.87 days), while the driest is December (1.60)."
Ebonyi,Okpoha,1610,27.2,"The month with the highest relative humidity is October (84.62 %). The month with the lowest relative humidity is January (47.12 %).
The wettest month is September (26.87 days). The driest month is December (1.60 days)."
Edo,Abiala,2910,26,"The month of highest relative humidity is June (90.70 %). The month with the lowest relative humidity is January (76.78 %).
The month which sees the most rainfall is October (15.27 days). The driest month of the year is January (28.83 days)."
Edo,Benin City,2679,25.7,"The month with the most relative humidity is June (91.07 %). The month with the least relative humidity is January (67.20 %).
The wettest month is October (28.63 days), while the driest is January (12.77)."
Edo,Ekosa,2522,25.8,"The month with the most relative humidity is June (90.79 %). The month with the least relative humidity is January (69.02 %).
The wettest month is October (28.40 days), while the driest is December (12.30)."
Edo,Etete,2348,25.7,"The month with the most relative humidity is June (91.07 %). The month with the least relative humidity is January (67.20 %).
The wettest month is July (28.27 days), while the driest is December (9.70)."
Edo,Idunmwunivdiode,2348,25.7,"The month with the highest relative humidity is June (91.07 %). The month with the lowest relative humidity is January (67.20 %).
The month with the highest number of rainy days is July (28.27 days). The month with the lowest number of rainy days is December (9.70 days)."
Edo,Iguemokhua,2348,25.8,"The month of highest relative humidity is June (90.71 %). The month with the lowest relative humidity is January (67.93 %).
The month which sees the most rainfall is July (9.70 days). The driest month of the year is December (28.27 days)."
Edo,Obayantor,2522,25.8,"The month of highest relative humidity is June (90.79 %). The month with the lowest relative humidity is January (69.02 %).
The month which sees the most rainfall is October (12.30 days). The driest month of the year is December (28.40 days)."
